scenario,controller,seed,RT,RT_norm,Overshoot,RI,NDR,ControlEffort,PerfMean,PerfStd,StabilityPost,Retention,AdaptSpeed,MemStability
adversarial_coupling,arc_v3_lqr_meta,2,100.0,1.0,0.26903288726703967,1.4718749999999998,0.6289308176100629,0.8501797339441379,0.9478599219335935,0.10026440655995075,0.10026440655995075,1.0,0.0,0.8471648360623404
adversarial_coupling,arc_v3_lqr_meta,3,100.0,1.0,0.25877169993841753,1.4812500000000002,0.9308176100628931,0.517555226250912,0.9559020501002505,0.09914947435801597,0.09914947435801597,0.9688438042634653,0.0,0.840252537423501
adversarial_coupling,arc_v3_lqr_meta,4,100.0,1.0,0.24892692379505366,1.4812500000000002,0.9308176100628931,0.4628826945648698,0.8354749675790556,0.07662680842042358,0.07662680842042358,0.9743588835319679,0.0,0.8557883676317337
adversarial_coupling,arc_v3_lqr_meta,5,100.0,1.0,0.18233946425032832,1.4625,0.9371069182389937,0.4554709534479481,0.8343607103887003,0.06252625271362489,0.06252625271362489,0.9834376478436508,0.0,0.8517000193904976
adversarial_coupling,arc_v3_lqr_meta,6,100.0,1.0,0.1824905003909979,1.4625,0.9433962264150944,0.45406347068825575,0.8352292787064132,0.06177922658315841,0.06177922658315841,0.9860145826291516,0.0,0.8481843175757968
adversarial_coupling,arc_v3_lqr_meta,7,100.0,1.0,0.2558318744322189,1.4812500000000002,0.9308176100628931,0.4574769061877918,0.8302572242983745,0.07697645431624947,0.07697645431624947,0.9879135235765116,0.0,0.857749280297806
adversarial_coupling,arc_v3_lqr_meta,8,100.0,1.0,0.2560325103550888,1.4812500000000002,0.9245283018867925,0.4595804912568668,0.8290930570583244,0.07822821042522227,0.07822821042522227,0.988607723338855,0.0,0.8608622974012603
adversarial_coupling,arc_v3_lqr_meta,9,100.0,1.0,0.25212571027229025,1.4812500000000002,0.9308176100628931,0.4590267592877761,0.8294629949149319,0.07778885140329148,0.07778885140329148,0.9868537125176657,0.0,0.8608879376495016
adversarial_coupling,arc_v3_lqr_meta,10,100.0,1.0,0.2604980683904099,1.4812500000000002,0.9245283018867925,0.463415175904818,0.8280271846048773,0.07881543880616117,0.07881543880616117,0.9878159240792629,0.0,0.8646040684854785
adversarial_coupling,arc_v3_lqr_meta,11,100.0,1.0,0.26588971545579154,1.4812500000000002,0.9245283018867925,0.4609013820974058,0.8284438328730935,0.0793689270233879,0.0793689270233879,0.9889239999657994,0.0,0.8638427571984841
adversarial_coupling,arc_v3_lqr_meta,12,100.0,1.0,0.2633555339002287,1.4812500000000002,0.9245283018867925,0.46310507938382395,0.8284034214357172,0.07816172428778007,0.07816172428778007,0.9857993482144215,0.0,0.8620559022490867
adversarial_coupling,arc_v3_lqr_meta,13,100.0,1.0,0.26163454789972207,1.4812500000000002,0.9308176100628931,0.4592868687053541,0.8292597426654043,0.07856552487770327,0.07856552487770327,0.9908896192159826,0.0,0.8604928822178148
adversarial_coupling,arc_v3_lqr_meta,14,100.0,1.0,0.25972618219098187,1.4812500000000002,0.9245283018867925,0.4601134354917374,0.8286900506974769,0.07875375805972541,0.07875375805972541,0.9884108720649125,0.0,0.8628346220768146
adversarial_coupling,arc_v3_lqr_meta,15,100.0,1.0,0.26238310686013067,1.4812500000000002,0.9245283018867925,0.46462657271757096,0.8275238390337973,0.0790466663850226,0.0790466663850226,0.9892860047780093,0.0,0.865718554044406
adversarial_coupling,arc_v3_lqr_meta,16,100.0,1.0,0.2564226256300409,1.4812500000000002,0.9308176100628931,0.45821053785092153,0.8296485454044106,0.0779877476184198,0.0779877476184198,0.9888042347811864,0.0,0.8608881004205774
