arc_high_arousal_ratio,arc_k_mem_block,arc_max_arousal,arc_mean_arousal,arc_mean_risk,arc_mean_risk_memory,arc_mean_u_mem,arc_mean_uncertainty,arc_mean_valence,arc_min_u_mem,arc_shift_active_ratio,arc_shift_mem_gate_floor,condition,env,final_reward_mean,final_reward_std,replay_last_shift_active,replay_last_u_mem,replay_n_added,replay_n_skipped,replay_recent_sample_calls,replay_recent_sample_ratio,replay_sample_calls,replay_skipped_ratio,replay_u_mem_threshold,seed,success_rate,timesteps
,,,,,,,,,,,,baseline,nonstationary,482.85,74.75511688172254,,,,,,,,,,5,1.0,50000
0.14383459154900893,3.0,0.5952431911815294,0.5469972061058965,0.05130469173408429,0.05130469173408429,0.8468506882537048,0.12341920221698152,0.9930848582049278,0.40061336844365947,0.04709522975418929,0.2,arc_plasticity,nonstationary,153.7,5.848931526355904,0.0,0.88,50000.0,0.0,495.0,0.04081800940051126,12127.0,0.0,0.5,5,0.0,50000
,,,,,,,,,,,,baseline,nonstationary,140.8,7.406753674856482,,,,,,,,,,6,0.0,50000
0.13666236779729193,3.0,0.6076546772052053,0.5480242118108104,0.05076943749869555,0.05076943749869555,0.8487743853787714,0.1219051772955917,0.9939324495340294,0.37766882527705087,0.048956808564714016,0.2,arc_plasticity,nonstationary,155.95,9.134960317374127,0.0,0.88,50000.0,0.0,505.0,0.04161516275236918,12135.0,0.0,0.5,6,0.0,50000
,,,,,,,,,,,,baseline,nonstationary,500.0,0.0,,,,,,,,,,7,1.0,50000
0.1321069071757221,3.0,0.6003353864693526,0.546226820218742,0.050626917101740235,0.050626917101740235,0.8491555612880489,0.12198864512513083,0.9933668617925064,0.39491112909910653,0.04757745166550198,0.2,arc_plasticity,nonstationary,124.3,4.9,0.0,0.88,50000.0,0.0,536.0,0.044191606892571525,12129.0,0.0,0.5,7,0.0,50000
,,,,,,,,,,,,baseline,nonstationary,169.4,27.614126819437907,,,,,,,,,,8,0.05,50000
0.14002077913245867,3.0,0.6045462513412637,0.5486280218014448,0.05046149345602511,0.05046149345602511,0.8497169104657541,0.12153232743114185,0.9937571927574772,0.3839806948223237,0.04611792919978438,0.2,arc_plasticity,nonstationary,185.7,8.614522621712709,0.0,0.88,50000.0,0.0,512.0,0.042261659100288895,12115.0,0.0,0.5,8,0.175,50000
,,,,,,,,,,,,baseline,nonstationary,498.7,5.666568626602876,,,,,,,,,,9,1.0,50000
0.12809615198792035,3.0,0.6054792755394788,0.5493623763138146,0.05131412344305033,0.05131412344305033,0.8473564157929302,0.12355741017241201,0.9937416135147342,0.3722884102177385,0.04876365061550247,0.2,arc_plasticity,nonstationary,135.4,6.232174580353153,0.0,0.88,50000.0,0.0,552.0,0.04555207129889421,12118.0,0.0,0.5,9,0.0,50000
