agent,env,episode,reward_mean,reward_std,success_rate,n_seeds
ql_arc,GridWorld,19,0.8475000000000001,0.06147153812944657,1.0,20
ql_arc,GridWorld,20,0.8744999999999999,0.038402473878644865,1.0,20
ql_arc,GridWorld,21,0.8135,0.1340624854312347,1.0,20
ql_arc,GridWorld,22,0.775,0.17906702655709678,1.0,20
ql_arc,GridWorld,23,0.8069999999999998,0.2024376447205411,1.0,20
ql_arc,GridWorld,24,0.8074999999999999,0.2442309357964302,1.0,20
ql_arc,GridWorld,25,0.8795,0.04375785643744448,1.0,20
ql_arc,GridWorld,26,0.8665,0.11023951197279497,1.0,20
ql_arc,GridWorld,27,0.8895000000000002,0.0443255005611894,1.0,20
ql_arc,GridWorld,28,0.9020000000000001,0.02874021572639983,1.0,20
ql_arc,GridWorld,29,0.8615,0.11186040407579441,1.0,20
ql_arc,GridWorld,30,0.883,0.10559829544078828,1.0,20
ql_arc,GridWorld,31,0.8990000000000002,0.025865034312755136,1.0,20
ql_arc,GridWorld,32,0.881,0.11008632975987528,1.0,20
ql_arc,GridWorld,33,0.8795,0.13745817545711858,1.0,20
ql_arc,GridWorld,34,0.883,0.12818346227185473,1.0,20
ql_arc,GridWorld,35,0.8865000000000001,0.11705874593553446,1.0,20
ql_arc,GridWorld,36,0.8935000000000001,0.10489399410833777,1.0,20
ql_arc,GridWorld,37,0.917,0.01552417469625999,1.0,20
ql_arc,GridWorld,38,0.8905000000000001,0.11128679166909253,1.0,20
ql_arc,GridWorld,39,0.9225,0.012196310917650438,1.0,20
ql_arc,GridWorld,40,0.8955,0.12334808470341163,1.0,20
ql_arc,GridWorld,41,0.9235,0.010136567466356605,1.0,20
ql_arc,GridWorld,42,0.8925000000000001,0.10999431803506944,1.0,20
ql_arc,GridWorld,43,0.8639999999999999,0.15041276541570534,1.0,20
ql_arc,GridWorld,44,0.8494999999999999,0.17805827697694934,1.0,20
ql_arc,GridWorld,45,0.8945000000000001,0.11222633380806842,1.0,20
ql_arc,GridWorld,46,0.876,0.15547990223819927,1.0,20
ql_arc,GridWorld,47,0.8649999999999999,0.15282342752340036,1.0,20
ql_arc,GridWorld,48,0.9205,0.01023474474522932,1.0,20
ql_arc,GridWorld,49,0.8945000000000001,0.10523663810669742,1.0,20
ql_arc,GridWorld,50,0.922,0.015684387141358096,1.0,20
ql_arc,GridWorld,51,0.9219999999999999,0.009797958971132672,1.0,20
ql_arc,GridWorld,52,0.893,0.1053612832116238,1.0,20
ql_arc,GridWorld,53,0.8949999999999999,0.11872236520555005,1.0,20
ql_arc,GridWorld,54,0.9019999999999999,0.10642368157510809,1.0,20
ql_arc,GridWorld,55,0.9259999999999999,0.008602325267042592,1.0,20
ql_arc,GridWorld,56,0.8454999999999998,0.18605039639839527,1.0,20
ql_arc,GridWorld,57,0.916,0.01562049935181328,1.0,20
