agent,blocked_updates,env,episode,epsilon,eval_reward,eval_success_rate,mean_arousal,reached_goal,seed,steps,total_reward,trap_hits
ql_baseline,,GridWorld,121,0.05425201222922791,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,122,0.05398075216808177,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,123,0.053710848407241364,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,124,0.053442294165205156,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,125,0.05317508269437913,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,126,0.052909207280907235,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,127,0.0526446612445027,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,128,0.052381437938280186,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,129,0.052119530748588785,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,130,0.05185893309484584,0.9299999999999999,1.0,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,131,0.05159963842937161,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,132,0.051341640237224755,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,133,0.05108493203603863,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,134,0.05082950737585844,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,135,0.05057535983897914,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,136,0.050322483039784247,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,137,0.050070870624585324,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,138,0.049820516271462396,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,139,0.049571413690105086,,,,True,0,12,0.89,0
ql_baseline,,GridWorld,140,0.04932355662165456,0.9299999999999999,1.0,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,141,0.04907693883854629,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,142,0.048831554144353556,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,143,0.04858739637363179,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,144,0.04834445939176363,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,145,0.04810273709480481,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,146,0.04786222340933079,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,147,0.04762291229228413,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,148,0.04738479773082271,,,,True,0,10,0.41999999999999993,1
ql_baseline,,GridWorld,149,0.04714787374216859,,,,True,0,14,0.87,0
ql_baseline,,GridWorld,150,0.046912134373457745,0.9299999999999999,1.0,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,151,0.04667757370159046,,,,True,0,12,0.89,0
